model,R2,RMSE,MAE
MLP,0.754±0.235,0.931±0.373,0.750±0.286
Random_Forest,0.955±0.050,0.357±0.317,0.170±0.134
SVR,0.837±0.160,0.774±0.179,0.638±0.186
XGBoost,0.927±0.065,0.477±0.365,0.234±0.160
