model,R2,RMSE,MAE
MLP,0.000±0.000,1.899±1.599,1.742±1.691
Random_Forest,0.000±0.000,2.698±1.282,2.521±1.431
SVR,0.000±0.000,1.693±0.956,1.499±0.997
XGBoost,0.000±0.000,2.516±0.847,2.288±0.929
