model,R2,RMSE,MAE
MLP,0.000±0.000,1.165±0.486,1.041±0.539
Random_Forest,0.000±0.000,2.231±0.753,2.148±0.815
SVR,0.000±0.000,2.075±1.276,1.973±1.362
XGBoost,0.000±0.000,2.177±0.660,2.170±0.665
