model,R2,RMSE,MAE
MLP,-9.858±8.741,0.153±0.105,0.131±0.100
Random_Forest,-39.282±43.038,0.270±0.136,0.250±0.151
SVR,-16.325±19.567,0.165±0.065,0.132±0.060
XGBoost,-33.730±35.570,0.232±0.110,0.209±0.109
