model,R2,RMSE,MAE
MLP,0.360±0.607,1.559±0.261,1.281±0.295
Random_Forest,-0.253±0.820,2.313±0.319,2.047±0.366
SVR,0.700±0.288,1.033±0.323,0.828±0.238
XGBoost,-0.025±1.106,1.907±0.641,1.658±0.608
