model,R2,RMSE,MAE
MLP,-0.012±0.977,0.199±0.093,0.169±0.084
Random_Forest,0.023±0.297,0.228±0.043,0.203±0.040
SVR,0.724±0.258,0.110±0.054,0.089±0.043
XGBoost,0.267±0.287,0.198±0.049,0.178±0.048
