eval_scheme,task,model,target,metric,mean,std
KFold,"Task_B: 4->[Id,UCS]",XGBoost,MACRO_AVG,MAE,1.201673441,1.401166149
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",MLP,岩石可钻性指数,R2,-54.23136387,83.58263894
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",MLP,岩石可钻性指数,RMSE,0.259073985,0.128326612
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",MLP,岩石可钻性指数,MAE,0.225051597,0.124584966
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",MLP,单轴抗压强度(MPa),R2,0,0
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",MLP,单轴抗压强度(MPa),RMSE,2.719942364,2.001883303
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",MLP,单轴抗压强度(MPa),MAE,2.494385493,2.100230603
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",MLP,MACRO_AVG,R2,-27.11568193,38.34736514
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",MLP,MACRO_AVG,RMSE,1.489508174,1.740096719
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",MLP,MACRO_AVG,MAE,1.359718545,1.604661387
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",SVR,岩石可钻性指数,R2,-17.56660784,21.22586526
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",SVR,岩石可钻性指数,RMSE,0.176535851,0.097628747
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",SVR,岩石可钻性指数,MAE,0.155445722,0.090061126
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",SVR,单轴抗压强度(MPa),R2,0,0
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",SVR,单轴抗压强度(MPa),RMSE,1.254144524,0.814166779
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",SVR,单轴抗压强度(MPa),MAE,1.024259007,0.726185074
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",SVR,MACRO_AVG,R2,-8.783303921,12.42146753
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",SVR,MACRO_AVG,RMSE,0.715340188,0.7619844
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",SVR,MACRO_AVG,MAE,0.589852364,0.614343765
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",Random_Forest,岩石可钻性指数,R2,-45.64910467,45.50988529
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",Random_Forest,岩石可钻性指数,RMSE,0.282997821,0.142585859
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",Random_Forest,岩石可钻性指数,MAE,0.258944444,0.159390794
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",Random_Forest,单轴抗压强度(MPa),R2,0,0
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",Random_Forest,单轴抗压强度(MPa),RMSE,2.74190355,1.20699134
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",Random_Forest,单轴抗压强度(MPa),MAE,2.558930556,1.362911166
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",Random_Forest,MACRO_AVG,R2,-22.82455234,32.27879147
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",Random_Forest,MACRO_AVG,RMSE,1.512450685,1.738708915
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",Random_Forest,MACRO_AVG,MAE,1.4089375,1.626335776
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",XGBoost,岩石可钻性指数,R2,-47.22286677,44.28505615
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",XGBoost,岩石可钻性指数,RMSE,0.288274839,0.109594487
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",XGBoost,岩石可钻性指数,MAE,0.264001114,0.122545871
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",XGBoost,单轴抗压强度(MPa),R2,0,0
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",XGBoost,单轴抗压强度(MPa),RMSE,2.822466433,1.011251364
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",XGBoost,单轴抗压强度(MPa),MAE,2.648251473,1.072034386
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",XGBoost,MACRO_AVG,R2,-23.61143338,33.39160932
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",XGBoost,MACRO_AVG,RMSE,1.555370636,1.791944061
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",XGBoost,MACRO_AVG,MAE,1.456126293,1.685919596
