model,R2,RMSE,MAE
MLP,0.174±0.262,0.879±0.962,0.725±0.786
Random_Forest,-0.115±0.196,1.270±1.474,1.125±1.304
SVR,0.712±0.017,0.571±0.652,0.458±0.522
XGBoost,0.121±0.207,1.052±1.208,0.918±1.046
