model,R2,RMSE,MAE
MLP,-4.929±6.971,1.026±1.235,0.937±1.139
Random_Forest,-19.641±27.777,1.484±1.716,1.386±1.606
SVR,-8.162±11.543,0.929±1.081,0.816±0.967
XGBoost,-16.865±23.851,1.374±1.615,1.248±1.470
