eval_scheme,task,model,target,metric,mean,std
KFold,"Task_B: 4->[Id,UCS]",XGBoost,单轴抗压强度(MPa),R2,-0.4593423703143042,1.188217766194165
KFold,"Task_B: 4->[Id,UCS]",XGBoost,单轴抗压强度(MPa),RMSE,2.429173889764601,0.5791656888452208
KFold,"Task_B: 4->[Id,UCS]",XGBoost,单轴抗压强度(MPa),MAE,2.1924475259440284,0.5349598130820206
KFold,"Task_B: 4->[Id,UCS]",XGBoost,MACRO_AVG,R2,-0.24880420663451028,0.2977459264730911
KFold,"Task_B: 4->[Id,UCS]",XGBoost,MACRO_AVG,RMSE,1.3339743645939455,1.5488460220009153
KFold,"Task_B: 4->[Id,UCS]",XGBoost,MACRO_AVG,MAE,1.2016734407246112,1.4011661485650964
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",MLP,岩石可钻性指数,R2,-54.23136386772342,83.58263894278875
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",MLP,岩石可钻性指数,RMSE,0.25907398486609673,0.12832661154729832
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",MLP,岩石可钻性指数,MAE,0.22505159669855634,0.12458496561471125
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",MLP,单轴抗压强度(MPa),R2,0.0,0.0
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",MLP,单轴抗压强度(MPa),RMSE,2.719942364049707,2.0018833027664056
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",MLP,单轴抗压强度(MPa),MAE,2.494385493430228,2.1002306027118425
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",MLP,MACRO_AVG,R2,-27.11568193386171,38.34736514386234
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",MLP,MACRO_AVG,RMSE,1.4895081744579017,1.740096718528279
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",MLP,MACRO_AVG,MAE,1.3597185450643923,1.6046613871554574
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",SVR,岩石可钻性指数,R2,-17.56660784157583,21.22586525581845
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",SVR,岩石可钻性指数,RMSE,0.176535851470315,0.09762874683263216
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",SVR,岩石可钻性指数,MAE,0.15544572183595268,0.09006112588151119
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",SVR,单轴抗压强度(MPa),R2,0.0,0.0
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",SVR,单轴抗压强度(MPa),RMSE,1.2541445239206774,0.8141667786993944
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",SVR,单轴抗压强度(MPa),MAE,1.0242590067003434,0.7261850742636314
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",SVR,MACRO_AVG,R2,-8.783303920787915,12.42146752722305
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",SVR,MACRO_AVG,RMSE,0.7153401876954962,0.7619843997550844
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",SVR,MACRO_AVG,MAE,0.589852364268148,0.6143437653125703
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",Random_Forest,岩石可钻性指数,R2,-45.649104670337664,45.50988529125543
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",Random_Forest,岩石可钻性指数,RMSE,0.2829978207265888,0.1425858586394394
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",Random_Forest,岩石可钻性指数,MAE,0.25894444444444414,0.1593907943718974
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",Random_Forest,单轴抗压强度(MPa),R2,0.0,0.0
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",Random_Forest,单轴抗压强度(MPa),RMSE,2.7419035496166573,1.2069913400965273
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",Random_Forest,单轴抗压强度(MPa),MAE,2.55893055555556,1.3629111659686597
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",Random_Forest,MACRO_AVG,R2,-22.824552335168832,32.27879146749026
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",Random_Forest,MACRO_AVG,RMSE,1.512450685171623,1.7387089151966177
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",Random_Forest,MACRO_AVG,MAE,1.408937500000002,1.626335775801546
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",XGBoost,岩石可钻性指数,R2,-47.222866768294644,44.2850561548684
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",XGBoost,岩石可钻性指数,RMSE,0.28827483885620836,0.10959448677605867
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",XGBoost,岩石可钻性指数,MAE,0.26400111430221135,0.12254587121837957
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",XGBoost,单轴抗压强度(MPa),R2,0.0,0.0
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",XGBoost,单轴抗压强度(MPa),RMSE,2.8224664334224103,1.0112513636368057
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",XGBoost,单轴抗压强度(MPa),MAE,2.6482514725791084,1.072034385654456
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",XGBoost,MACRO_AVG,R2,-23.611433384147322,33.39160931893001
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",XGBoost,MACRO_AVG,RMSE,1.5553706361393094,1.7919440613437114
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",XGBoost,MACRO_AVG,MAE,1.4561262934406598,1.6859195963840494
