model,R2,RMSE,MAE
MLP,-27.116±38.347,1.490±1.740,1.360±1.605
Random_Forest,-22.825±32.279,1.512±1.739,1.409±1.626
SVR,-8.783±12.421,0.715±0.762,0.590±0.614
XGBoost,-23.611±33.392,1.555±1.792,1.456±1.686
