eval_scheme,task,model,target,metric,mean,std
KFold,"Task_B: 4->[Id,UCS]",Random_Forest,单轴抗压强度(MPa),MAE,2.0469142857142866,0.36620357336166864
KFold,"Task_B: 4->[Id,UCS]",Random_Forest,MACRO_AVG,R2,-0.11492527346159326,0.19572676498029168
KFold,"Task_B: 4->[Id,UCS]",Random_Forest,MACRO_AVG,RMSE,1.270359833029918,1.4740356774387111
KFold,"Task_B: 4->[Id,UCS]",Random_Forest,MACRO_AVG,MAE,1.1250076785714291,1.303772827062794
KFold,"Task_B: 4->[Id,UCS]",XGBoost,岩石可钻性指数,R2,0.2668824851190569,0.2868932045884979
KFold,"Task_B: 4->[Id,UCS]",XGBoost,岩石可钻性指数,RMSE,0.19820186347985908,0.04884981888238133
KFold,"Task_B: 4->[Id,UCS]",XGBoost,岩石可钻性指数,MAE,0.17790126522949765,0.04780730889593677
KFold,"Task_B: 4->[Id,UCS]",XGBoost,单轴抗压强度(MPa),R2,-0.025476085830242922,1.1057838228905001
KFold,"Task_B: 4->[Id,UCS]",XGBoost,单轴抗压强度(MPa),RMSE,1.906604610138509,0.6411238665691295
KFold,"Task_B: 4->[Id,UCS]",XGBoost,单轴抗压强度(MPa),MAE,1.6575940215587615,0.6075513004279244
KFold,"Task_B: 4->[Id,UCS]",XGBoost,MACRO_AVG,R2,0.12070319964440698,0.20672872805625825
KFold,"Task_B: 4->[Id,UCS]",XGBoost,MACRO_AVG,RMSE,1.052403236809184,1.2080231671600548
KFold,"Task_B: 4->[Id,UCS]",XGBoost,MACRO_AVG,MAE,0.9177476433941295,1.0463007820730361
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",MLP,岩石可钻性指数,R2,-9.857938337183267,8.74080087734894
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",MLP,岩石可钻性指数,RMSE,0.15261101383534253,0.1049870798234087
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",MLP,岩石可钻性指数,MAE,0.13141937255822705,0.10001032138594058
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",MLP,单轴抗压强度(MPa),R2,0.0,0.0
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",MLP,单轴抗压强度(MPa),RMSE,1.898995680643579,1.599320022714509
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",MLP,单轴抗压强度(MPa),MAE,1.7417688072631878,1.691234155984677
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",MLP,MACRO_AVG,R2,-4.9289691685916335,6.970615046741127
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",MLP,MACRO_AVG,RMSE,1.0258033472394608,1.2348804404603133
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",MLP,MACRO_AVG,MAE,0.9365940899107075,1.138689005359801
