model,R2,RMSE,MAE
MLP,0.723±0.337,0.940±0.382,0.760±0.266
Random_Forest,0.954±0.051,0.363±0.315,0.170±0.127
SVR,0.834±0.172,0.772±0.186,0.646±0.185
XGBoost,0.908±0.082,0.546±0.335,0.393±0.215
