model,R2,RMSE,MAE
MLP,-0.849±0.569,1.763±2.101,1.475±1.742
Random_Forest,-0.195±0.103,1.285±1.466,1.146±1.299
SVR,0.675±0.020,0.588±0.660,0.472±0.523
XGBoost,-0.249±0.298,1.334±1.549,1.202±1.401
