model,tuned,best_score,best_params
MLP,True,0.17399209305688515,"{'estimator__model__activation': 'tanh', 'estimator__model__alpha': 0.001, 'estimator__model__hidden_layer_sizes': (16,), 'estimator__model__learning_rate_init': 0.0001}"
SVR,True,0.7119059656493996,"{'estimator__model__C': 300, 'estimator__model__epsilon': 0.01, 'estimator__model__gamma': 'scale'}"
Random_Forest,True,-0.11492527346159313,"{'estimator__model__max_depth': None, 'estimator__model__max_features': 1.0, 'estimator__model__min_samples_leaf': 1, 'estimator__model__min_samples_split': 2, 'estimator__model__n_estimators': 300}"
XGBoost,True,0.11623532176017762,"{'estimator__model__colsample_bytree': 0.8, 'estimator__model__learning_rate': 0.05, 'estimator__model__max_depth': 2, 'estimator__model__n_estimators': 1200, 'estimator__model__reg_lambda': 10.0, 'estimator__model__subsample': 0.8}"
