model,R2,RMSE,MAE
MLP,0.000±0.000,0.991±0.295,0.796±0.245
Random_Forest,0.000±0.000,2.065±0.594,2.028±0.606
SVR,0.000±0.000,1.701±1.017,1.564±1.069
XGBoost,0.000±0.000,2.300±0.550,2.292±0.552
