model,R2,RMSE,MAE
MLP,0.000±0.000,2.720±2.002,2.494±2.100
Random_Forest,0.000±0.000,2.742±1.207,2.559±1.363
SVR,0.000±0.000,1.254±0.814,1.024±0.726
XGBoost,0.000±0.000,2.822±1.011,2.648±1.072
