model,R2,RMSE,MAE
MLP,-1.251±1.353,3.249±1.210,2.707±1.104
Random_Forest,-0.268±0.836,2.321±0.364,2.064±0.407
SVR,0.690±0.292,1.055±0.325,0.842±0.253
XGBoost,-0.459±1.188,2.429±0.579,2.192±0.535
