model,R2,RMSE,MAE
MLP,-54.231±83.583,0.259±0.128,0.225±0.125
Random_Forest,-45.649±45.510,0.283±0.143,0.259±0.159
SVR,-17.567±21.226,0.177±0.098,0.155±0.090
XGBoost,-47.223±44.285,0.288±0.110,0.264±0.123
